Publication_year,Department_UPC,ID_article
2010,Centre Especific de Recerca de Metodes Numerics en Ciencies Aplicades i Enginyeria,0
2010,Centre Tecnologic de Vilanova i la Geltru,3
2010,"Centre de Desenvolupament de Sensors, Instrumentacio i Sistemes",0
2010,Catedra UNESCO de Sostenibilitat,2
2010,Departament d'Arquitectura de Computadors,73
2010,Departament d'Enginyeria Agroalimentaria i Biotecnologia,46
2010,Departament d'Enginyeria Civil i Ambiental,267
2010,Departament d'Enginyeria Electronica,113
2010,Departament d'Enginyeria Electrica,55
2010,Departament d'Enginyeria Mecanica,19
2010,"Departament d'Enginyeria Minera, Industrial i TIC",22
2010,Departament d'Enginyeria Quimica,139
2010,Departament d'Enginyeria Telematica,36
2010,Departament d'Enginyeria de Projectes i de la Construccio,32
2010,Departament d'Enginyeria de Serveis i Sistemes d'Informacio,12
2010,"Departament d'Enginyeria de Sistemes, Automatica i Informatica Industrial",71
2010,Departament d'Estadistica i Investigacio Operativa,43
2010,Departament d'Expressio Grafica a l'Enginyeria,23
2010,Departament d'Organitzacio d'Empreses,46
2010,Departament d'Urbanisme i Ordenacio del Territori,41
2010,Departament d'Optica i Optometria,30
2010,Departament de Ciencia dels Materials i Enginyeria Metal·lurgica,108
2010,Departament de Ciencia i Enginyeria Nautiques,9
2010,Departament de Ciencies de la Computacio,75
2010,Departament de Fisica,200
2010,Departament de Matematiques,206
2010,Departament de Mecanica de Fluids,24
2010,Departament de Maquines i Motors Termics,23
2010,Departament de Projectes Arquitectonics,29
2010,Departament de Representacio Arquitectonica,11
2010,Departament de Resistencia de Materials i Estructures a l'Enginyeria,8
2010,Departament de Tecnologia de l'Arquitectura,55
2010,Departament de Teoria del Senyal i Comunicacions,135
2010,Departament de Teoria i Historia de l'Arquitectura i Tecniques de Comunicacio,41
2010,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2010,Escola Tecnica Superior d'Enginyeria de Telecomunicacio de Barcelona,0
2010,Grup de Recerca Aplicada en Hidrometeorologia,2
2010,Institut d'Investigacio Textil de Cooperacio Industrial de Terrassa,6
2010,Institut d'Organitzacio i Control de Sistemes Industrials,0
2010,Institut de Ciencies de l'Educacio,0
2010,Institut de Robotica i Informatica Industrial,7
2010,Institut de Tecniques Energetiques,1
2011,Centre Especific de Recerca de Metodes Numerics en Ciencies Aplicades i Enginyeria,0
2011,Centre Tecnologic de Vilanova i la Geltru,9
2011,"Centre de Desenvolupament de Sensors, Instrumentacio i Sistemes",2
2011,Catedra UNESCO de Sostenibilitat,0
2011,Departament d'Arquitectura de Computadors,76
2011,Departament d'Enginyeria Agroalimentaria i Biotecnologia,37
2011,Departament d'Enginyeria Civil i Ambiental,302
2011,Departament d'Enginyeria Electronica,101
2011,Departament d'Enginyeria Electrica,63
2011,Departament d'Enginyeria Mecanica,27
2011,"Departament d'Enginyeria Minera, Industrial i TIC",21
2011,Departament d'Enginyeria Quimica,151
2011,Departament d'Enginyeria Telematica,36
2011,Departament d'Enginyeria de Projectes i de la Construccio,39
2011,Departament d'Enginyeria de Serveis i Sistemes d'Informacio,10
2011,"Departament d'Enginyeria de Sistemes, Automatica i Informatica Industrial",58
2011,Departament d'Estadistica i Investigacio Operativa,41
2011,Departament d'Expressio Grafica a l'Enginyeria,28
2011,Departament d'Organitzacio d'Empreses,41
2011,Departament d'Urbanisme i Ordenacio del Territori,32
2011,Departament d'Optica i Optometria,39
2011,Departament de Ciencia dels Materials i Enginyeria Metal·lurgica,111
2011,Departament de Ciencia i Enginyeria Nautiques,15
2011,Departament de Ciencies de la Computacio,85
2011,Departament de Fisica,209
2011,Departament de Matematiques,230
2011,Departament de Mecanica de Fluids,14
2011,Departament de Maquines i Motors Termics,34
2011,Departament de Projectes Arquitectonics,56
2011,Departament de Representacio Arquitectonica,14
2011,Departament de Resistencia de Materials i Estructures a l'Enginyeria,20
2011,Departament de Tecnologia de l'Arquitectura,50
2011,Departament de Teoria del Senyal i Comunicacions,136
2011,Departament de Teoria i Historia de l'Arquitectura i Tecniques de Comunicacio,68
