Publication_year,Department_UPC,ID_article
2010,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,0
2010,Centre Tecnològic de Vilanova i la Geltrú,3
2010,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",0
2010,Càtedra UNESCO de Sostenibilitat,2
2010,Departament d'Arquitectura de Computadors,73
2010,Departament d'Enginyeria Agroalimentària i Biotecnologia,46
2010,Departament d'Enginyeria Civil i Ambiental,267
2010,Departament d'Enginyeria Electrònica,113
2010,Departament d'Enginyeria Elèctrica,55
2010,Departament d'Enginyeria Mecànica,19
2010,"Departament d'Enginyeria Minera, Industrial i TIC",22
2010,Departament d'Enginyeria Química,139
2010,Departament d'Enginyeria Telemàtica,36
2010,Departament d'Enginyeria de Projectes i de la Construcció,32
2010,Departament d'Enginyeria de Serveis i Sistemes d'Informació,12
2010,"Departament d'Enginyeria de Sistemes, Automàtica i Informàtica Industrial",71
2010,Departament d'Estadística i Investigació Operativa,43
2010,Departament d'Expressió Gràfica a l'Enginyeria,23
2010,Departament d'Organització d'Empreses,46
2010,Departament d'Urbanisme i Ordenació del Territori,41
2010,Departament d'Òptica i Optometria,30
2010,Departament de Ciència dels Materials i Enginyeria Metal·lúrgica,108
2010,Departament de Ciència i Enginyeria Nàutiques,9
2010,Departament de Ciències de la Computació,75
2010,Departament de Física,200
2010,Departament de Matemàtiques,206
2010,Departament de Mecànica de Fluids,24
2010,Departament de Màquines i Motors Tèrmics,23
2010,Departament de Projectes Arquitectònics,29
2010,Departament de Representació Arquitectònica,11
2010,Departament de Resistència de Materials i Estructures a l'Enginyeria,8
2010,Departament de Tecnologia de l'Arquitectura,55
2010,Departament de Teoria del Senyal i Comunicacions,135
2010,Departament de Teoria i Història de l'Arquitectura i Tècniques de Comunicació,41
2010,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2010,Escola Tècnica Superior d'Enginyeria de Telecomunicació de Barcelona,0
2010,Grup de Recerca Aplicada en Hidrometeorologia,2
2010,Institut d'Investigació Tèxtil de Cooperació Industrial de Terrassa,6
2010,Institut d'Organització i Control de Sistemes Industrials,0
2010,Institut de Ciències de l'Educació,0
2010,Institut de Robòtica i Informàtica Industrial,7
2010,Institut de Tècniques Energètiques,1
2011,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,0
2011,Centre Tecnològic de Vilanova i la Geltrú,9
2011,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",2
2011,Càtedra UNESCO de Sostenibilitat,0
2011,Departament d'Arquitectura de Computadors,76
2011,Departament d'Enginyeria Agroalimentària i Biotecnologia,37
2011,Departament d'Enginyeria Civil i Ambiental,302
2011,Departament d'Enginyeria Electrònica,101
2011,Departament d'Enginyeria Elèctrica,63
2011,Departament d'Enginyeria Mecànica,27
2011,"Departament d'Enginyeria Minera, Industrial i TIC",21
2011,Departament d'Enginyeria Química,151
2011,Departament d'Enginyeria Telemàtica,36
2011,Departament d'Enginyeria de Projectes i de la Construcció,39
2011,Departament d'Enginyeria de Serveis i Sistemes d'Informació,10
2011,"Departament d'Enginyeria de Sistemes, Automàtica i Informàtica Industrial",58
2011,Departament d'Estadística i Investigació Operativa,41
2011,Departament d'Expressió Gràfica a l'Enginyeria,28
2011,Departament d'Organització d'Empreses,41
2011,Departament d'Urbanisme i Ordenació del Territori,32
2011,Departament d'Òptica i Optometria,39
2011,Departament de Ciència dels Materials i Enginyeria Metal·lúrgica,111
2011,Departament de Ciència i Enginyeria Nàutiques,15
2011,Departament de Ciències de la Computació,85
2011,Departament de Física,209
2011,Departament de Matemàtiques,230
2011,Departament de Mecànica de Fluids,14
2011,Departament de Màquines i Motors Tèrmics,34
2011,Departament de Projectes Arquitectònics,56
2011,Departament de Representació Arquitectònica,14
2011,Departament de Resistència de Materials i Estructures a l'Enginyeria,20
2011,Departament de Tecnologia de l'Arquitectura,50
2011,Departament de Teoria del Senyal i Comunicacions,136
2011,Departament de Teoria i Història de l'Arquitectura i Tècniques de Comunicació,68
2011,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2011,Escola Tècnica Superior d'Enginyeria de Telecomunicació de Barcelona,0
2011,Grup de Recerca Aplicada en Hidrometeorologia,1
2011,Institut d'Investigació Tèxtil de Cooperació Industrial de Terrassa,4
2011,Institut d'Organització i Control de Sistemes Industrials,2
2011,Institut de Ciències de l'Educació,2
2011,Institut de Robòtica i Informàtica Industrial,6
2011,Institut de Tècniques Energètiques,13
2012,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,1
2012,Centre Tecnològic de Vilanova i la Geltrú,9
2012,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",1
2012,Càtedra UNESCO de Sostenibilitat,2
2012,Departament d'Arquitectura de Computadors,91
2012,Departament d'Enginyeria Agroalimentària i Biotecnologia,46
2012,Departament d'Enginyeria Civil i Ambiental,309
2012,Departament d'Enginyeria Electrònica,113
2012,Departament d'Enginyeria Elèctrica,77
2012,Departament d'Enginyeria Mecànica,30
2012,"Departament d'Enginyeria Minera, Industrial i TIC",40
2012,Departament d'Enginyeria Química,158
2012,Departament d'Enginyeria Telemàtica,39
2012,Departament d'Enginyeria de Projectes i de la Construcció,45
2012,Departament d'Enginyeria de Serveis i Sistemes d'Informació,15
2012,"Departament d'Enginyeria de Sistemes, Automàtica i Informàtica Industrial",73
2012,Departament d'Estadística i Investigació Operativa,47
2012,Departament d'Expressió Gràfica a l'Enginyeria,37
2012,Departament d'Organització d'Empreses,43
2012,Departament d'Urbanisme i Ordenació del Territori,28
2012,Departament d'Òptica i Optometria,36
2012,Departament de Ciència dels Materials i Enginyeria Metal·lúrgica,112
2012,Departament de Ciència i Enginyeria Nàutiques,4
2012,Departament de Ciències de la Computació,75
2012,Departament de Física,201
2012,Departament de Matemàtiques,258
2012,Departament de Mecànica de Fluids,19
2012,Departament de Màquines i Motors Tèrmics,39
2012,Departament de Projectes Arquitectònics,45
2012,Departament de Representació Arquitectònica,16
2012,Departament de Resistència de Materials i Estructures a l'Enginyeria,18
2012,Departament de Tecnologia de l'Arquitectura,57
2012,Departament de Teoria del Senyal i Comunicacions,145
2012,Departament de Teoria i Història de l'Arquitectura i Tècniques de Comunicació,74
2012,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",1
2012,Escola Tècnica Superior d'Enginyeria de Telecomunicació de Barcelona,0
2012,Grup de Recerca Aplicada en Hidrometeorologia,0
2012,Institut d'Investigació Tèxtil de Cooperació Industrial de Terrassa,6
2012,Institut d'Organització i Control de Sistemes Industrials,0
2012,Institut de Ciències de l'Educació,1
2012,Institut de Robòtica i Informàtica Industrial,8
2012,Institut de Tècniques Energètiques,4
2013,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,1
2013,Centre Tecnològic de Vilanova i la Geltrú,8
2013,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",1
2013,Càtedra UNESCO de Sostenibilitat,1
2013,Departament d'Arquitectura de Computadors,73
2013,Departament d'Enginyeria Agroalimentària i Biotecnologia,34
2013,Departament d'Enginyeria Civil i Ambiental,325
2013,Departament d'Enginyeria Electrònica,130
2013,Departament d'Enginyeria Elèctrica,58
2013,Departament d'Enginyeria Mecànica,23
2013,"Departament d'Enginyeria Minera, Industrial i TIC",26
2013,Departament d'Enginyeria Química,143
2013,Departament d'Enginyeria Telemàtica,35
2013,Departament d'Enginyeria de Projectes i de la Construcció,37
2013,Departament d'Enginyeria de Serveis i Sistemes d'Informació,19
2013,"Departament d'Enginyeria de Sistemes, Automàtica i Informàtica Industrial",68
2013,Departament d'Estadística i Investigació Operativa,42
2013,Departament d'Expressió Gràfica a l'Enginyeria,19
2013,Departament d'Organització d'Empreses,47
2013,Departament d'Urbanisme i Ordenació del Territori,41
2013,Departament d'Òptica i Optometria,22
2013,Departament de Ciència dels Materials i Enginyeria Metal·lúrgica,87
2013,Departament de Ciència i Enginyeria Nàutiques,9
2013,Departament de Ciències de la Computació,74
2013,Departament de Física,202
2013,Departament de Matemàtiques,245
2013,Departament de Mecànica de Fluids,18
2013,Departament de Màquines i Motors Tèrmics,42
2013,Departament de Projectes Arquitectònics,33
2013,Departament de Representació Arquitectònica,17
2013,Departament de Resistència de Materials i Estructures a l'Enginyeria,21
2013,Departament de Tecnologia de l'Arquitectura,44
2013,Departament de Teoria del Senyal i Comunicacions,126
2013,Departament de Teoria i Història de l'Arquitectura i Tècniques de Comunicació,57
2013,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",1
2013,Escola Tècnica Superior d'Enginyeria de Telecomunicació de Barcelona,0
2013,Grup de Recerca Aplicada en Hidrometeorologia,0
2013,Institut d'Investigació Tèxtil de Cooperació Industrial de Terrassa,2
2013,Institut d'Organització i Control de Sistemes Industrials,2
2013,Institut de Ciències de l'Educació,6
2013,Institut de Robòtica i Informàtica Industrial,10
2013,Institut de Tècniques Energètiques,2
2014,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,1
2014,Centre Tecnològic de Vilanova i la Geltrú,5
2014,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",1
2014,Càtedra UNESCO de Sostenibilitat,1
2014,Departament d'Arquitectura de Computadors,85
2014,Departament d'Enginyeria Agroalimentària i Biotecnologia,52
2014,Departament d'Enginyeria Civil i Ambiental,319
2014,Departament d'Enginyeria Electrònica,145
2014,Departament d'Enginyeria Elèctrica,57
2014,Departament d'Enginyeria Mecànica,39
2014,"Departament d'Enginyeria Minera, Industrial i TIC",40
2014,Departament d'Enginyeria Química,180
2014,Departament d'Enginyeria Telemàtica,44
2014,Departament d'Enginyeria de Projectes i de la Construcció,43
2014,Departament d'Enginyeria de Serveis i Sistemes d'Informació,19
2014,"Departament d'Enginyeria de Sistemes, Automàtica i Informàtica Industrial",92
2014,Departament d'Estadística i Investigació Operativa,49
2014,Departament d'Expressió Gràfica a l'Enginyeria,25
2014,Departament d'Organització d'Empreses,51
2014,Departament d'Urbanisme i Ordenació del Territori,40
2014,Departament d'Òptica i Optometria,36
2014,Departament de Ciència dels Materials i Enginyeria Metal·lúrgica,121
2014,Departament de Ciència i Enginyeria Nàutiques,7
2014,Departament de Ciències de la Computació,74
2014,Departament de Física,215
2014,Departament de Matemàtiques,234
2014,Departament de Mecànica de Fluids,21
2014,Departament de Màquines i Motors Tèrmics,40
2014,Departament de Projectes Arquitectònics,45
2014,Departament de Representació Arquitectònica,14
2014,Departament de Resistència de Materials i Estructures a l'Enginyeria,25
2014,Departament de Tecnologia de l'Arquitectura,51
2014,Departament de Teoria del Senyal i Comunicacions,141
2014,Departament de Teoria i Història de l'Arquitectura i Tècniques de Comunicació,59
2014,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2014,Escola Tècnica Superior d'Enginyeria de Telecomunicació de Barcelona,0
2014,Grup de Recerca Aplicada en Hidrometeorologia,2
2014,Institut d'Investigació Tèxtil de Cooperació Industrial de Terrassa,5
2014,Institut d'Organització i Control de Sistemes Industrials,1
2014,Institut de Ciències de l'Educació,2
2014,Institut de Robòtica i Informàtica Industrial,16
2014,Institut de Tècniques Energètiques,7
2015,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,0
2015,Centre Tecnològic de Vilanova i la Geltrú,2
2015,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",5
2015,Càtedra UNESCO de Sostenibilitat,0
2015,Departament d'Arquitectura de Computadors,76
2015,Departament d'Enginyeria Agroalimentària i Biotecnologia,40
2015,Departament d'Enginyeria Civil i Ambiental,327
2015,Departament d'Enginyeria Electrònica,142
2015,Departament d'Enginyeria Elèctrica,60
2015,Departament d'Enginyeria Mecànica,41
2015,"Departament d'Enginyeria Minera, Industrial i TIC",44
2015,Departament d'Enginyeria Química,169
2015,Departament d'Enginyeria Telemàtica,28
2015,Departament d'Enginyeria de Projectes i de la Construcció,36
2015,Departament d'Enginyeria de Serveis i Sistemes d'Informació,15
2015,"Departament d'Enginyeria de Sistemes, Automàtica i Informàtica Industrial",96
2015,Departament d'Estadística i Investigació Operativa,52
2015,Departament d'Expressió Gràfica a l'Enginyeria,17
2015,Departament d'Organització d'Empreses,58
2015,Departament d'Urbanisme i Ordenació del Territori,19
2015,Departament d'Òptica i Optometria,24
2015,Departament de Ciència dels Materials i Enginyeria Metal·lúrgica,129
2015,Departament de Ciència i Enginyeria Nàutiques,17
2015,Departament de Ciències de la Computació,70
2015,Departament de Física,183
2015,Departament de Matemàtiques,231
2015,Departament de Mecànica de Fluids,44
2015,Departament de Màquines i Motors Tèrmics,45
2015,Departament de Projectes Arquitectònics,39
2015,Departament de Representació Arquitectònica,14
2015,Departament de Resistència de Materials i Estructures a l'Enginyeria,29
2015,Departament de Tecnologia de l'Arquitectura,48
2015,Departament de Teoria del Senyal i Comunicacions,113
2015,Departament de Teoria i Història de l'Arquitectura i Tècniques de Comunicació,45
2015,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2015,Escola Tècnica Superior d'Enginyeria de Telecomunicació de Barcelona,0
2015,Grup de Recerca Aplicada en Hidrometeorologia,1
2015,Institut d'Investigació Tèxtil de Cooperació Industrial de Terrassa,5
2015,Institut d'Organització i Control de Sistemes Industrials,2
2015,Institut de Ciències de l'Educació,1
2015,Institut de Robòtica i Informàtica Industrial,13
2015,Institut de Tècniques Energètiques,8
2016,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,2
2016,Centre Tecnològic de Vilanova i la Geltrú,12
2016,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",5
2016,Càtedra UNESCO de Sostenibilitat,0
2016,Departament d'Arquitectura de Computadors,89
2016,Departament d'Enginyeria Agroalimentària i Biotecnologia,49
2016,Departament d'Enginyeria Civil i Ambiental,287
2016,Departament d'Enginyeria Electrònica,149
2016,Departament d'Enginyeria Elèctrica,68
2016,Departament d'Enginyeria Mecànica,43
2016,"Departament d'Enginyeria Minera, Industrial i TIC",44
2016,Departament d'Enginyeria Química,176
2016,Departament d'Enginyeria Telemàtica,36
2016,Departament d'Enginyeria de Projectes i de la Construcció,46
2016,Departament d'Enginyeria de Serveis i Sistemes d'Informació,14
2016,"Departament d'Enginyeria de Sistemes, Automàtica i Informàtica Industrial",130
2016,Departament d'Estadística i Investigació Operativa,53
2016,Departament d'Expressió Gràfica a l'Enginyeria,24
2016,Departament d'Organització d'Empreses,72
2016,Departament d'Urbanisme i Ordenació del Territori,27
2016,Departament d'Òptica i Optometria,28
2016,Departament de Ciència dels Materials i Enginyeria Metal·lúrgica,121
2016,Departament de Ciència i Enginyeria Nàutiques,5
2016,Departament de Ciències de la Computació,74
2016,Departament de Física,200
2016,Departament de Matemàtiques,214
2016,Departament de Mecànica de Fluids,32
2016,Departament de Màquines i Motors Tèrmics,33
2016,Departament de Projectes Arquitectònics,29
2016,Departament de Representació Arquitectònica,28
2016,Departament de Resistència de Materials i Estructures a l'Enginyeria,29
2016,Departament de Tecnologia de l'Arquitectura,53
2016,Departament de Teoria del Senyal i Comunicacions,130
2016,Departament de Teoria i Història de l'Arquitectura i Tècniques de Comunicació,51
2016,"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa",0
2016,Escola Tècnica Superior d'Enginyeria de Telecomunicació de Barcelona,0
2016,Grup de Recerca Aplicada en Hidrometeorologia,0
2016,Institut d'Investigació Tèxtil de Cooperació Industrial de Terrassa,4
2016,Institut d'Organització i Control de Sistemes Industrials,1
2016,Institut de Ciències de l'Educació,3
2016,Institut de Robòtica i Informàtica Industrial,14
2016,Institut de Tècniques Energètiques,11
2017,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,3
2017,Centre Tecnològic de Vilanova i la Geltrú,22
2017,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",3
2017,Càtedra UNESCO de Sostenibilitat,0
2017,Departament d'Arquitectura de Computadors,73
2017,Departament d'Enginyeria Agroalimentària i Biotecnologia,57
2017,Departament d'Enginyeria Civil i Ambiental,308
2017,Departament d'Enginyeria Electrònica,121
2017,Departament d'Enginyeria Elèctrica,67
2017,Departament d'Enginyeria Mecànica,41
2017,"Departament d'Enginyeria Minera, Industrial i TIC",32
2017,Departament d'Enginyeria Química,176
2017,Departament d'Enginyeria Telemàtica,24
2017,Departament d'Enginyeria de Projectes i de la Construcció,31
2017,Departament d'Enginyeria de Serveis i Sistemes d'Informació,21
2017,"Departament d'Enginyeria de Sistemes, Automàtica i Informàtica Industrial",151
2017,Departament d'Estadística i Investigació Operativa,56
2017,Departament d'Expressió Gràfica a l'Enginyeria,20
2017,Departament d'Organització d'Empreses,63
2017,Departament d'Urbanisme i Ordenació del Territori,35
2017,Departament d'Òptica i Optometria,25
2017,Departament de Ciència dels Materials i Enginyeria Metal·lúrgica,112
2017,Departament de Ciència i Enginyeria Nàutiques,19
2017,Departament de Ciències de la Computació,82
2017,Departament de Física,207
2017,Departament de Matemàtiques,200
2017,Departament de Mecànica de Fluids,39
2017,Departament de Màquines i Motors Tèrmics,38
2017,Departament de Projectes Arquitectònics,33
2017,Departament de Representació Arquitectònica,18
2017,Departament de Resistència de Materials i Estructures a l'Enginyeria,14
2017,Departament de Tecnologia de l'Arquitectura,75
2017,Departament de Teoria del Senyal i Comunicacions,97
