,Department_UPC,ID_author,Number_articles
1977,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,18555761,6
2175,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,22037311,11
2264,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,23536547,3
2489,Centre Específic de Recerca de Mètodes Numèrics en Ciències Aplicades i Enginyeria,27561134,1
4375,Centre Tecnològic de Vilanova i la Geltrú,181985,121
4807,Centre Tecnològic de Vilanova i la Geltrú,2052105,14
5443,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",11002128,17
5485,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",11007760,10
6682,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",180543,2
6898,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",181326,5
6979,"Centre de Desenvolupament de Sensors, Instrumentació i Sistemes",181576,15
10746,Càtedra UNESCO de Sostenibilitat,33088751,9
10900,Departament d'Arquitectura de Computadors,11007068,8
10902,Departament d'Arquitectura de Computadors,11007088,3
10921,Departament d'Arquitectura de Computadors,11069018,10
10999,Departament d'Arquitectura de Computadors,12824377,6
11155,Departament d'Arquitectura de Computadors,16676904,4
11261,Departament d'Arquitectura de Computadors,177904,34
11282,Departament d'Arquitectura de Computadors,178028,2
11288,Departament d'Arquitectura de Computadors,178035,8
11294,Departament d'Arquitectura de Computadors,178049,46
11324,Departament d'Arquitectura de Computadors,178202,63
11337,Departament d'Arquitectura de Computadors,178236,6
11338,Departament d'Arquitectura de Computadors,178237,29
11342,Departament d'Arquitectura de Computadors,178250,22
11344,Departament d'Arquitectura de Computadors,178253,56
11348,Departament d'Arquitectura de Computadors,178279,42
11377,Departament d'Arquitectura de Computadors,178335,10
11395,Departament d'Arquitectura de Computadors,178392,1
11402,Departament d'Arquitectura de Computadors,178404,4
11463,Departament d'Arquitectura de Computadors,178571,33
11465,Departament d'Arquitectura de Computadors,178574,7
11467,Departament d'Arquitectura de Computadors,178577,36
11513,Departament d'Arquitectura de Computadors,178693,7
11531,Departament d'Arquitectura de Computadors,178759,76
11566,Departament d'Arquitectura de Computadors,178944,47
11580,Departament d'Arquitectura de Computadors,178997,35
11606,Departament d'Arquitectura de Computadors,179056,8
11681,Departament d'Arquitectura de Computadors,179328,13
